"opcode","mnemonic","children","variable","operator"
0,"#const",0,"f","f"
1,"#var",0,"t","f"
2,"-",1,"f","t"
3,"+",2,"f","t"
4,"-",2,"f","t"
5,"*",2,"f","t"
6,"/",2,"f","t"
7,"^",2,"f","t"
8,"&",2,"f","t"
9,"|",2,"f","t"
10,"=",2,"f","t"
11,">",2,"f","t"
12,"<",2,"f","t"
13,"abs",1,"f","f"
14,"acos",1,"f","f"
15,"asin",1,"f","f"
16,"atan",1,"f","f"
17,"atan2",2,"f","f"
18,"ceil",1,"f","f"
19,"cos",1,"f","f"
20,"cosh",1,"f","f"
21,"exp",1,"f","f"
22,"floor",1,"f","f"
23,"log",1,"f","f"
24,"log10",1,"f","f"
25,"max",1,"f","f"
26,"min",1,"f","f"
27,"pow",2,"f","f"
28,"rand",0,"f","f"
29,"round",1,"f","f"
30,"sin",1,"f","f"
31,"sinh",1,"f","f"
32,"sqrt",1,"f","f"
33,"tan",1,"f","f"
34,"tanh",1,"f","f"
35,"toDegrees",1,"f","f"
36,"toRadians",1,"f","f"
37,"length",1,"f","f"
38,"format",2,"f","f"
39,"left",2,"f","f"
40,"right",2,"f","f"
41,"cint",1,"f","f"
42,"cfloat",1,"f","f"
43,"cstr",1,"f","f"
44,"cbool",1,"f","f"
45,"iff",3,"f","f"
46,"clamp",3,"f","f"
47,">=",2,"f","t"
48,"<=",3,"f","t"
49,"bconst",0,"f","f"
50,"iconst",0,"f","f"
51,"sconst",0,"f","f"
